items/id,items/itemKey,items/name,items/type,items/value,items/flags/CONSUMABLE,items/flags/PURCHASEABLE,items/flags/REUSABLE,items/rarity,items/description,items/longDescription,items/imageURL
73,berriesandcream,Berries and Cream,Collectable,5000000,true,false,false,Epic,I'm a little lad who loves... CoD and Doritos!,Use this item to send it to someone who loves berries and cream!,https://cdn.discordapp.com/emojis/890365752534761472.png
128,binary,Binary,Collectable,100000,false,false,false,Rare,I dare you to translate this binary into text., Found from the developer job.,https://cdn.discordapp.com/emojis/910648334212026498.gif
84,blackhole,Black Hole,Collectable,500000,false,false,false,Rare,I don't think this is safe to keep around?,Having any amount of this item in your inventory gives you a chance to have it suck up an item you find while using the bot. This happening enters you into a chance of winning a daily black hole lottery containing part of all the items sucked up in a day!,https://cdn.discordapp.com/emojis/932395505382744106.png
80,blob,Blob,Collectable,50000000,false,false,true,Legendary,"The blob will rise again, look to the sky and ask for forgiveness.","Using this does not consume it, but does nothing of value.",https://cdn.discordapp.com/emojis/933188762782011454.gif
61,blueplasticbits,Blue Plastic Bits,Collectable,25000,false,false,false,Common,"Blue is a fan favorite, I especially like Bluey.",,https://cdn.discordapp.com/emojis/975398146249207808.png
52,bluesplane,Blue's Plane,Collectable,1000000,false,false,false,Rare,This top-of-the-line aircraft carries only the most prestigious of passengers.,,https://cdn.discordapp.com/emojis/931691006754189342.gif
20,boar,Boar,Sellable,7000,false,false,false,Common,Some people think this item can be a bit boaring.,,https://cdn.discordapp.com/emojis/861584585656762398.png
55,cutters,Bolt Cutters,Collectable,100000000,false,false,false,Godly,"I made this item to rob from normies without ever failing, now lots of people have it so I had to nerf it to just break a padlock. Lame devs, L.",Owning this item makes you break padlocks when robbing.,https://cdn.discordapp.com/emojis/978074542683611136.png
140,whiskey,Bottle of Whiskey,Power-up,100000,true,false,false,Rare,"Whiskey and a little coke, daddy likey",Using this will give you a better chance to steal from people for 15 hours. Found from the bartender job.,https://cdn.discordapp.com/emojis/978747427983085700.png
181,boxbox,Box Box,Loot Box,1000000,true,false,false,Rare,Box in a box in a box in a box in a box in a box in a box.,,https://cdn.discordapp.com/emojis/1004915442818756778.gif
148,sand,Box of Sand,Tool,5000,true,false,false,Uncommon,How many of you pee'd in the sandbox as children? Well this item takes from that exact sandbox.,Throw a box of sand in someone's eyes to prevent them from robbing anyone for 30 minutes. There is a small chance the sand will blow back in your own face and give you the negative effects.,https://cdn.discordapp.com/emojis/830509316901175366.png
40,boxedchocolates,Boxed Chocolates,Consumable,1000000,true,false,false,Rare,"Life is like a chocolate of boxes. Wait, that's not right.",Using this item will raise your marriage level.,https://cdn.discordapp.com/emojis/936271905357459508.png
106,bundlebox,Bundle Box,Loot Box,1000000,true,false,false,Rare,Some evil developer came up with this ideas.,Using this gives you a 50% chance to get an empowered fart bottle and 50% chance to get a single bread.,https://cdn.discordapp.com/emojis/977726388150894653.gif
51,bunnysapron,Bunny's Apron,Collectable,1000000,true,false,false,Rare,"A handmade pink apron with bunny ears stitched to the pocket, finely crafted for Michelin Star chefs, is mainly found in the kitchen.",Using this item will turn your embeds pinks.,https://cdn.discordapp.com/emojis/928417989357891675.png
90,cactus,Cactus,Collectable,1000000,false,false,false,Rare,"Everyone knows someone who reminds them of what this cactus does, a bit of a prick.",,https://cdn.discordapp.com/emojis/944679123962454046.png
114,camera,Camera,Tool,100000,true,false,false,Uncommon,Can be used to stream both on Twitch AND onlyfans!,This item helps you with the amount of viewers watching your streams.,https://cdn.discordapp.com/emojis/903730591294439496.png
79,candy,Candy,Power-up,25000,true,false,false,Common,It is not saltwater taffy. Unless...,Using this item will give a small amount of coins.,https://cdn.discordapp.com/emojis/943637574906417214.png
70,candycane,Candy Cane,Tool,100000,true,false,false,Uncommon,"I get that it is candy, but how is it a cane? It is way too small to use to walk.",Using this item gives nothing of value.,https://cdn.discordapp.com/emojis/1024829646287683626.png
197,candycorn,Candy Corn,Power-up,1000000,true,false,false,Rare,I'm starting to think whoever developed this bot just really likes corn.,Using this item will give you a level instantly. You can use more than one at once to level in bulk!,https://cdn.discordapp.com/emojis/1024830960216313969.png
146,phone,Cell Phone,Tool,2000,false,true,true,Common,Back in my day these flipped open and shut. Wait they brought that back?,"Use your cell phone to text your friends via the notifications system, or ring the police in the case of a bankrobbery. Misusing it (such as dialing police when there's no trouble) may cost you money.",https://cdn.discordapp.com/emojis/830509316632346625.png
58,chillpill,Chill Pill,Collectable,25000,true,false,false,Common,"Chill Phil, take a big ol chill pill.",Using this item does nothing of value.,https://cdn.discordapp.com/emojis/943292242523725855.png
176,chocolatecake,Chocolate Cake,Collectable,1000000,true,false,false,Epic,Everyone loves chocolate cake. EVERYONE. No exceptions. Don't argue with me.,You can use this item to obtain a pepe skin over with our friends at bake.gg!,https://cdn.discordapp.com/emojis/998339184139968552.png
72,christmastree,Christmas Tree,Collectable,5000000,false,false,false,Epic,This tree is missing an ornament. Must have fallen and broke back in 2005.,,https://cdn.discordapp.com/emojis/923011690126254170.png
156,coinbomb,Coin Bomb,Tool,50000,true,false,false,Uncommon,"This is not safe to take on planes. Not because it's a weapon, but because the pilots would leave the cockpit to partake.",Using this item starts a coinbomb giveaway where users can join and earn a few thousand coins.,https://cdn.discordapp.com/emojis/942168959346704435.gif
194,coinvoucher,Coin Voucher,Consumable,10000000,true,false,false,Epic,"Sometimes you need an item to turn into coins. This is that item, duh.",Using this item will turn it into 10 million coins. You can use multiple at once with the quantity argument.,https://cdn.discordapp.com/emojis/1013966592352202834.png
23,fish,Common Fish,Sellable,800,false,false,false,Common,"This fish is pretty common, unlike my ability to come up with good flavor text.",,https://cdn.discordapp.com/emojis/957698195000025158.png
4,cookie,Cookie,Sellable,250,true,false,false,Common,"They said don't eat the dough raw, but that will NOT stop me.",Using this will do nothing of value.,https://cdn.discordapp.com/emojis/981318260463136778.png
8,corncob,Corncob,Sellable,300000,false,false,false,Uncommon,Corny jokes are the life blood of this bot.,,https://cdn.discordapp.com/emojis/972246926303051776.png
9,corndog,Corndog,Sellable,30000,false,false,false,Uncommon,"Ok so hear me out man, it's pork or beef wrapped in a cornbread breading. I call it... the CORN DOG! Wait why are dogs involved?",,https://cdn.discordapp.com/emojis/973632646703894588.png
94,cowboyboots,Cowboy Boots,Collectable,1000000,true,false,false,Rare,Wear these as a SPUR of the moment fashion choice you coward!,When you use this item you gain XP 200% faster for 12 hours.,https://cdn.discordapp.com/emojis/950859370474922094.png
91,cowboyhat,Cowboy Hat,Collectable,1000000,true,false,false,Rare,Doug Dimmadome would be proud of this.,"Using this gives you cowboy themed embed colors. (Brown, leather colored)",https://cdn.discordapp.com/emojis/944662489784782859.png
41,creditcard,Credit Card,Power-up,2000000,true,false,false,Epic,My mom will never know this is missing.,"You can use this item to ""buy"" someone or yourself 5 days of premium perks for Dank Memer. (Close to the $2 perk value, missing a few things)",https://cdn.discordapp.com/emojis/892546328406663168.png
124,taco,Crunchy Taco,Power-up,100000,true,false,false,Rare,"This is a beef taco, but we all know fish tacos are better.",Using this item will double your level up rewards for 24 hours. Found from the fast food cook job.,https://cdn.discordapp.com/emojis/976607098588790804.png
81,cupidsbigtoe,Cupid's Big Toe,Power-up,25000,true,false,false,Common,"Cupid lost this in a bet. I took it fair and square, legally of course.",Applies a multiplier of **69%** for **69 seconds**.,https://cdn.discordapp.com/emojis/976612203211931678.png
39,cursedpepe,Cursed Pepe,Collectable,1000000,false,false,false,Rare,A pepe that not even a mother could love... But I sure do.,,https://cdn.discordapp.com/emojis/933194488241864704.png
99,daily,Daily Box,Loot Box,100000,true,false,false,Uncommon,Oh let me run my daily for the box. Wha? It comes from voting and not daily? L devs.,Using this item gives you a 10 minutes double xp boost.,https://cdn.discordapp.com/emojis/861390900219478037.gif
103,dank,Dank Box,Loot Box,600000,true,false,false,Rare,Every time I open these the contents are wet. I hate Dank rewards.,,https://cdn.discordapp.com/emojis/861390901049425950.gif
19,deer,Deer,Sellable,5000,false,false,false,Common,"Bambi deserved better than this, but man oh man is the jerky gonna be good.",,https://cdn.discordapp.com/emojis/981686994524569710.png
196,hoodie,Designer Hoodie,Collectable,1000000,true,false,false,Common,"Darkus wanted a hoodie item for winning a competition. AS REQUESTED, a designer hoodie!",Using this item gives you black embed colors.,https://cdn.discordapp.com/emojis/1021543611583709224.png
171,developerbox,Developer Box,Loot Box,1000000,true,false,false,Rare,Each developer item earned gives a little more of their soul away. Like in Harry Potter!,,https://cdn.discordapp.com/emojis/975470580381921310.gif
21,dragon,Dragon,Sellable,35000,true,false,false,Uncommon,"In DnD 5e, an adult red dragon is chaotic evil and has a challenge rating of 17. You're telling me someone shot this one with a rifle?",You can use this item to get a unique pet,https://cdn.discordapp.com/emojis/861390869696741396.png
18,duck,Duck,Sellable,3000,false,false,false,Common,Ducks lay eggs very similarly edible to chicken eggs. One of my favorite differences are that they can be blue depending on the breed of duck.,,https://cdn.discordapp.com/emojis/920400262911373383.png
43,ducttape,Duct Tape,Tool,900000,false,true,false,Uncommon,It is not suspicious to buy this from the store UNLESS you buy it in bulk and wear a dark hoodie.,This item can be used to craft things with the craft command.,https://cdn.discordapp.com/emojis/903663686017749013.png
121,ectoplasm,Ectoplasm,Sellable,200000,false,false,false,Rare,"Ew, ghost gunk. Disgusting. Funky wunky ghosty gunky.", Found from the ghost job.,https://cdn.discordapp.com/emojis/975768694435233842.gif
87,empoweredfartbottle,Empowered Fart Bottle,Tool,500000,true,false,false,Rare,"This is like a fart bottle but like, without the downsides. Crazy item design right?","Use this item to throw at a user to prevent them from running commands for a while, you cannot fail.",https://cdn.discordapp.com/emojis/924808588420059207.gif
69,enchantedbad,Enchanted Badosz's Card,Collectable,100000000,false,false,false,Godly,"It's a Badosz card, but enchanted. If only the enchantment DID something!",,https://cdn.discordapp.com/emojis/931295850292989973.gif
139,energydrink,Energy Drink,Power-up,100000,true,false,false,Rare,"Guess the brand that inspired this art. Nope, wrong. It was bud lite.",Drinking this decreases the time between your work shifts for 6 hours. Found from the pro gamer job.,https://cdn.discordapp.com/emojis/989307051945648178.png
163,ring,Engagement Ring,Collectable,500000,true,true,false,Rare,Marriage in a MEME game? Disgusting.,Use this ring to propose a marriage to someone!,https://cdn.discordapp.com/emojis/862369027984064552.png
25,exoticfish,Exotic Fish,Sellable,5000,false,false,false,Common,"If this was Minecraft, this fish would be used to feed a pet axolotl",,https://cdn.discordapp.com/emojis/970794371869995058.png
151,fakeid,Fake ID,Tool,20000,true,false,false,Uncommon,McLovin would be proud of the quality of this expensive and very real ID.,Using this item hides you from the robbers wishlist and gives you a random fake name on leaderboards.,https://cdn.discordapp.com/emojis/966338245443080213.png
32,fartinabottle,Fart In A Bottle,Consumable,100000,true,false,false,Uncommon,"""You're either a smart fella or a fart smella."" -TheLazyTownie",Using this on someone prevents them from running commands for a short while. It has the chance to backfire and hit you instead.,https://cdn.discordapp.com/emojis/860285654009511936.png
149,spinner,Fidget Spinner,Collectable,50000,false,false,false,Uncommon,"Once a stimulation tool, now a bad meme.",,https://cdn.discordapp.com/emojis/873970101479686194.gif
133,bait,Fishing Bait,Power-up,100000,true,false,false,Rare,All my homies (fish) love biting this (fake) food.,"While this item is active, you cannot find ""nothing"" while hunting. Found from the professional fisherman job.",https://cdn.discordapp.com/emojis/992184511674728501.png
154,fishingpole,Fishing Pole,Tool,25000,false,true,false,Common,It's no Bassmaster 2000 but it should do the job.,This item is required to access the fish command.,https://cdn.discordapp.com/emojis/868519722759630858.png
74,fool,Fool's Notif,Collectable,25000,false,false,false,Common,An item for fools. NO I meant April fools...,,https://cdn.discordapp.com/emojis/960588198331957278.gif
15,fossil,Fossil,Sellable,75000,true,false,false,Uncommon,How did my grandmother get into this bot as an item?,You can use this item to start a quest for a unique pet.,https://cdn.discordapp.com/emojis/921790077393338378.png
5,bread,Fresh Bread,Sellable,2000,true,false,false,Common,"This used to be day old bread, but we decided it smelled too bad.",Using this will do nothing of value.,https://cdn.discordapp.com/emojis/980955203018821632.png
77,gift,Friend's Gift,Collectable,1000000,false,false,false,Rare,"Why do you have your friend's gift still, give it to them already.",,https://cdn.discordapp.com/emojis/987156741110255716.png
2,garbage,Garbage,Sellable,1500,false,false,false,Common,What has 6 wheels and flies? A garbage truck!,,https://cdn.discordapp.com/emojis/935631382590394398.png
98,giftbox,Gift Box,Collectable,1000000,false,false,false,Rare,The lootbox that cannot be opened. The cursed lootbox if you will.,,https://cdn.discordapp.com/emojis/987157087693975612.png
104,god,God Box,Loot Box,1500000,true,false,false,Epic,This box is the lifeblood of my wallet.,,https://cdn.discordapp.com/emojis/861390900688977950.gif
44,goldencorndog,Golden Corndog,Collectable,1000000,false,false,false,Rare,Why is this golden. It does not look edible at all.,,https://cdn.discordapp.com/emojis/987046202212237392.png
97,goldennugget,Golden Nugget,Collectable,1000000,false,false,false,Rare,"It looks like a golden doo doo, it must be worth a lot!",,https://cdn.discordapp.com/emojis/945419831535083570.png
64,goldenplasticbits,Golden Plastic Bits,Collectable,100000,false,false,false,Uncommon,"The icon, the legend, the... oh the market price is dropping again",,https://cdn.discordapp.com/emojis/975398146416971907.png
193,grass,Grass,Collectable,1000000,false,false,false,Epic,"This item is a paradox. If someone owns it they probably do not touch grass, yet they are currently touching grass.",,https://cdn.discordapp.com/emojis/1009956477814968360.png
201,gravestone,Gravestone,Collectable,1000000,false,false,false,Rare,Having this means you died. Unless you bought it from someone else on the market. Imagine buying someone else's gravestone. New black market listing unlocked!,,https://cdn.discordapp.com/emojis/1029829993301291059.png
118,greenscreen,Green Screen,Tool,100000,true,false,false,Uncommon,Hide the mess behind you so people don't know you're in shambles.,This item increases your revenue from streaming.,https://cdn.discordapp.com/emojis/904821937807716352.png
110,grindpack,Grind Pack,Pack,100000,true,true,false,Rare,"Grinding can be unhealthy, take breaks and touch grass.",Opening this will give you some basic grind assisting items.,https://cdn.discordapp.com/emojis/873172443685064744.png
119,headphones,Headphones,Tool,100000,true,false,false,Uncommon,Open back is the best quality you'll find in headphones.,This item increases your max idle time.,https://cdn.discordapp.com/emojis/904886213087989761.png
37,stocking,Holiday Stocking,Collectable,1000000,false,false,false,Rare,"Some people call this a sock, I call it a HOLIDAY sock!",,https://cdn.discordapp.com/emojis/920812196567597067.png
191,holybadoszbread,Holy Badosz's Bread,Collectable,1000000,false,false,false,Epic,"This bread might be holy, but it smells TERRIBLE and probably should not be touched with a ten foot pole. This must be 10,000 years old.",,https://cdn.discordapp.com/emojis/1010341373154689164.gif
192,holywater,Holy Water,Collectable,1000000,false,false,false,Epic,This water is (metaphorically) used to cleanse the eyes of anyone who looked at Badosz.,,https://cdn.discordapp.com/emojis/1010314176511627344.png
166,huntingrifle,Hunting Rifle,Tool,25000,false,true,false,Common,Bambi is VERY upset with you. Put it down!,This item is required to access the hunt command.,https://cdn.discordapp.com/emojis/868286178070261760.png
78,jacky,Jacky o' Lanty,Collectable,5000000,true,false,false,Epic,The name is how it is because I did not want people calling it jack. People did it anyway.,Using this item will turn embed colors into spooky fall colors.,https://cdn.discordapp.com/emojis/968850393431961630.gif
83,jarofsingularity,Jar Of Singularity,Collectable,500000,false,false,false,Rare,"Wait, HOW did they get this in a jar?",,https://cdn.discordapp.com/emojis/932759942081941515.png
26,jellyfish,Jelly Fish,Sellable,8000,false,false,false,Common,"Lucky for you this was not a Box jellyfish, look it up.",,https://cdn.discordapp.com/emojis/971160094349869126.png
3,junk,Junk,Sellable,2000,false,false,false,Common,What do raccoons eat? Junk food!,,https://cdn.discordapp.com/emojis/981272956351156234.png
174,kablessunglasses,Kable's Sunglasses,Collectable,1000000,true,false,false,Rare,A chad item for virgin staff member.,Using this item on someone reminds them that no one asked.,https://cdn.discordapp.com/emojis/969374516205719592.gif
113,keyboard,Keyboard,Tool,100000,false,true,false,Uncommon,Why are they called keys? Do they unlock the ability to type?,This item is required to access the stream command.,https://cdn.discordapp.com/emojis/904821868312268850.png
28,kraken,Kraken,Sellable,85000,true,false,false,Rare,"This thing is a pain to have around, it's always kraken jokes.",This item can be used to get a unique pet.,https://cdn.discordapp.com/emojis/860228238956429313.png
13,ladybug,Ladybug,Sellable,5000,false,false,false,Common,"Fun fact, not all Lady Bugs are lady bugs. Some are in fact not ladies, as they act like heathens.",,https://cdn.discordapp.com/emojis/863198415822389268.png
150,landmine,Landmine,Tool,20000,true,false,false,Common,Who would have thought a game with pets would also involve landmines.,"Once active, if someone tries to steal from you, there's a 50% chance they will die from blowing up. Lasts 24 hours.",https://cdn.discordapp.com/emojis/887000049354145792.png
168,laptop,Laptop,Collectable,5000,false,false,false,Common,"Imagine using a laptop instead of a cellphone in 2025, wait it's not 2025 yet carry on.",,https://cdn.discordapp.com/emojis/830509316674813974.png
92,lasso,Lasso,Collectable,1000000,false,false,false,Rare,"Yeeeeeehaw, I done wrangled me a critter with this!",,https://cdn.discordapp.com/emojis/950807315915870279.png
143,lawdegree,Law Degree,Sellable,1000000,false,false,false,Rare,I got my law degree the same way Mike Ross got his. Walking into the wrong office. Now I want to sell it., Found from the lawyer job.,https://cdn.discordapp.com/emojis/976890603772186624.png
27,legendaryfish,Legendary Fish,Sellable,30000,false,false,false,Uncommon,This fish is only half as legendary as the sailors it has brought to the bottom of the sea.,,https://cdn.discordapp.com/emojis/971430841211322408.gif
158,lifesaver,Life Saver,Power-up,100000,false,true,false,Uncommon,The heart is crunchy and has no flavor. Better save it for later.,"When you die with one of these in your inventory, you are saved from death.",https://cdn.discordapp.com/emojis/935147848977219635.gif
123,likebutton,Like Button,Collectable,100000,false,false,false,Rare,"SMASH THAT LIKE BUTTON, RING THE BELL", Found from the youtuber job.,https://cdn.discordapp.com/emojis/991768633611141200.png
47,karen,Literally Karen,Collectable,100000000,false,false,false,Godly,She wants to speak to your manager.,,https://cdn.discordapp.com/emojis/860196324762452028.png
71,tree,Literally a Tree,Sellable,100000,false,false,false,Uncommon,This is literally a tree. What else did you expect.,,https://cdn.discordapp.com/emojis/923005301421113344.png
157,horseshoe,Lucky Horseshoe,Power-up,75000,true,true,false,Uncommon,"The horse was named lucky, but are we sure it was... lucky?","Activating this gives you increased chance at higher tier drops in grind commands. Anywhere you see a horseshoe while this is active, that command is being affected.",https://cdn.discordapp.com/emojis/986396363707281468.png
48,melmsiebeard,Melmsie's Beard,Collectable,5000000,false,false,false,Epic,I am livid that someone shaved this off my face. Give it BACK. Right now. Seriously! `/friends share items user:@Dank Memer#5192 quantity:1 item:Melmsie's Beard`,,https://cdn.discordapp.com/emojis/934601991097819216.png
102,meme,Meme Box,Loot Box,300000,true,false,false,Rare,You're telling me there is NO memes in this box? Only items and coins? False advertisement???,,https://cdn.discordapp.com/emojis/861390901300953118.gif
138,memepills,Meme pills,Sellable,1000000,false,false,false,Rare,Sell these bad boys. Maybe we should dye them blue too., Found from the pharmacist job.,https://cdn.discordapp.com/emojis/834080273804689409.png
82,meteorite,Meteorite,Sellable,225000,true,false,false,Rare,Thank god this didn't hit the Earth!,Using this item starts a secret quest for a green cutie!,https://cdn.discordapp.com/emojis/932047375579643944.gif
115,microphone,Microphone,Tool,100000,true,false,false,Uncommon,Honestly the most important aspect of a streamer's toolkit.,This item helps keep your stream online for longer by lowering the chance for it to randomly end while interacting.,https://cdn.discordapp.com/emojis/903784794398294036.png
200,moleman,Mole Man,Sellable,85000,false,false,false,Rare,I suggest seeing your dermatologist about this mole as I'm not sure liquid nitrogen works on things with claws.,,https://cdn.discordapp.com/emojis/1022972147175526441.gif
120,poster,Motivational Poster,Power-up,100000,false,false,false,Rare,This is the poster everyone stares at when getting yelled at for sitting on the job. Very motivational.,"Provides a 5% work payout bonus, stacking up to 50%. Found from the manager job.",https://cdn.discordapp.com/emojis/980515661619003482.png
112,mouse,Mouse,Tool,100000,false,true,false,Uncommon,Why is it called a mouse?,This item is required to access the stream command.,https://cdn.discordapp.com/emojis/904821818425241600.png
65,multiplasticbits,Multi Colored Plastic Bits,Collectable,1000000,false,false,false,Rare,"In a world full of color, things like this item become possible with only imagination.",,https://cdn.discordapp.com/emojis/975398148660928602.gif
145,note,Musical Note,Sellable,1000000,false,false,false,Rare,"A single note is enough to change the world. Of course, only if that note is a written note to a world power telling them ""I bet you can't nuke that other world power"". Has nothing to do with music.", Found from the musician job.,https://cdn.discordapp.com/emojis/910673407761317928.gif
107,newplayerpack,New Player Pack,Pack,100000,true,false,false,Rare,A pack to get you on your feet in the bot as a new player.,Opening this will give you some basic items.,https://cdn.discordapp.com/emojis/873172443529891871.png
101,normie,Normie Box,Loot Box,35000,true,false,false,Rare,"Little box packs a little punch. Not a big punch, it's a normie boxbox.",,https://cdn.discordapp.com/emojis/861390901405679626.gif
57,eye,Odd Eye,Collectable,100000000,false,false,false,Godly,"The only one who could see the dark globule in the distance, and now watches over the rest.",,https://cdn.discordapp.com/emojis/993233845174415380.gif
178,oldbox,Old Box,Loot Box,2000000,true,false,false,Legendary,Is the box old or the items inside? Ok well that is a bit misleading isn't it.,,https://cdn.discordapp.com/emojis/895447304805429278.gif
93,revolver,Old Cowboy Revolver,Collectable,1000000,true,false,false,Rare,"Wait, what does Russian Roulette have to do with cowboys?","Using this item starts a game of Russian Roulette in chat. 6 people are chosen from all the people who entered, there are 5 bullets in the chamber so only one will walk away with some cash.",https://cdn.discordapp.com/emojis/946724166223138856.gif
63,orangeplasticbits,Orange Plastic Bits,Collectable,25000,false,false,false,Common,The only thing that rhymes with orange is gullible,,https://cdn.discordapp.com/emojis/975398146333081690.png
38,ornament,Ornament,Collectable,100000,false,false,false,Uncommon,These make a satisfying sound when they fall of the tree in 2005 and make everyone in the house wake up and think a gun went off. Trust me.,,https://cdn.discordapp.com/emojis/921193342501539891.png
182,outwestbox,Out West Adventure Box,Loot Box,1000000,true,false,false,Rare,I bet the cactus is thriving in there.,,https://cdn.discordapp.com/emojis/1006333035970576394.gif
167,padlock,Padlock,Tool,5000,true,true,false,Common,The lock picking lawyer would make quick work of this I'm ngl to you.,Use this padlock to lock your wallet from robbers. It is a one time use item. It can be broken when someone tries to steal from you as well.,https://cdn.discordapp.com/emojis/830509316900651059.png
105,patreon,Patreon Box,Loot Box,2000000,true,false,false,Legendary,Pay to win? No way baby this is pay to ENJOY (by winning).,,https://cdn.discordapp.com/emojis/892171107845677066.gif
111,patreonpack,Patreon Pack,Pack,100000,true,false,false,Rare,Thanks for supporting us! Now shut up and take my items.,Opening this will give you some somewhat rarer items to assist in your gameplay.,https://cdn.discordapp.com/emojis/921546973218218064.png
180,pepebox,Pepe Box,Loot Box,1000000,true,false,false,Rare,Pepe certainly did NOT hold me at gunpoint to make a pepe themed box. Who got that idea?,,https://cdn.discordapp.com/emojis/1001266209628631071.gif
164,pepecoin,Pepe Coin,Collectable,500000,false,false,false,Rare,Can you even believe that this used to be the most expensive item? Now it's a gift you'd give your cousin as a hand me down.,,https://cdn.discordapp.com/emojis/942212715454271518.gif
147,pepecrown,Pepe Crown,Collectable,250000000,false,false,true,Godly,Some say pepe personally gifted this crown to those who own it. That would be absurd though.,,https://cdn.discordapp.com/emojis/834862725120917544.png
165,pepemedal,Pepe Medal,Collectable,12000000,false,false,false,Epic,"This medal used to be rare, now it's just a secondhand bargin bin item for the rich players.",Owning this medal gives you an extra 5% steal shields (does not stack).,https://cdn.discordapp.com/emojis/948673104870252564.gif
